Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Label,binary_label,original_label,adversarial_type
527562.6742489046,8.472874724947886,7.474331628011203,39068.44489595921,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
248358.9248933171,9.973046420109627,10.883791943718718,34973.66985953875,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1311648.8834533938,9.315941037527553,6.940632078299351,21406.907065367934,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
612328.902788457,15.47990456515028,5.722854650534769,54994.587865843394,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1232146.743430409,11.27132751195342,6.954169019042952,27087.316847116505,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
516649.15445450775,9.229163446078061,9.37797123703444,160659.07129193743,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1245117.318493472,10.572793892265482,6.506357822104382,109445.0951714897,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
682492.8279988957,12.946729457964395,12.001640084295069,28012.264387132374,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
706587.4842681675,10.569951887554154,9.563142600481473,27072.051277710423,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
838557.341117787,10.666628549552549,4.097677075345536,38508.320077905075,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
691828.6396991,11.200915853440996,10.906523197029621,75078.68962410443,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
282383.4610754805,9.979207667808769,9.194333998623145,77595.60579112767,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
484263.0436912128,7.621372042158002,7.324423494460591,59935.090878861934,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1982393.011173861,9.229567343382115,8.61644586841225,47593.676871398624,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1029667.2936912668,13.442241649586306,11.837504141702118,19988.342620751646,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1465740.6400449798,10.704437439227306,4.862402490350301,31751.903598895788,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
972913.889203321,5.852285431647621,9.480123960586564,36925.86169462337,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
715090.5161950479,10.619075543002939,8.016229168921846,21222.22222759052,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1354963.3791249588,9.211230861778834,11.885832903992585,58171.38484292921,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
2216426.608441214,10.733510605923609,9.278875516846561,36903.62832325086,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
598153.3455662234,9.47085199208771,5.94775174031257,27612.041233207616,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
883146.9997959619,11.526892041366594,6.913452277880764,13814.503173817619,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
919068.3531331792,8.817568634226372,5.057047804268631,16720.47557632675,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
3494115.8660315447,8.777137512589864,11.059330562757808,17229.505435822088,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
521817.71912403783,10.728451845593764,5.624479913238803,36989.6346802894,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1149983.6237704302,8.148201652690133,6.502335052190176,77629.2483206951,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
667030.2903931802,9.975559469847092,8.018217800202233,73526.72208143023,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
753545.8666910497,8.927932382896575,8.80885136158712,23055.10423374494,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1902041.853268827,11.21146592403014,6.021203990620463,26894.92902630623,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1064425.6759996167,9.975804110263251,11.747191585573711,30340.052944917174,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1102137.8570080977,9.334464559500956,5.742243045718149,37482.79409913355,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
527291.2730554926,13.624212228110881,7.509336595260497,23486.20560095307,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
437394.1564172427,10.708431882671082,8.013213890934775,19410.47527008182,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
722774.6591113291,9.983488367188546,6.967929947231477,33520.41924944735,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
760889.0414236176,13.746135641389674,8.577288936751804,20983.783660142886,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1378046.758408898,10.68771542757668,8.687309371525444,60870.25934014797,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1024770.2999277356,12.15637026817693,8.699794688051986,37327.08255457462,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
615614.5605126771,7.877558252697305,10.082526138783027,35306.945819032735,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
850021.4381239235,9.302813218546275,6.961832573426367,98182.1823920389,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
622068.1527085536,9.196079904670015,10.019234467873009,40278.99936703626,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
829114.0001845553,9.973422229868405,9.137688782075507,30546.264409175677,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
330743.57574383984,12.585880084982296,8.016951802306313,33603.77001696726,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
684468.5212518447,7.405839310455854,13.23522301770362,18934.751988720098,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
973963.6449792885,8.71035493806625,5.162442601941879,52214.00262782138,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
400825.75215734844,9.975875249239651,5.967757914964193,45285.821452266784,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
2561560.8805173673,11.664613112828214,5.043667824362281,63209.43334892788,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
580923.72401303,9.983534383027283,6.670339185046188,17144.686322037334,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
623128.4710652058,10.568991822318097,8.011743289579982,20126.79532724098,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
462345.61014017824,9.982190087436715,6.870842178609478,37390.22971822115,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
379205.6133147365,11.26813320723942,9.163659938353458,18196.234322898115,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
631653.2085664296,12.38511935059752,10.24247168762657,16794.242737699016,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1352414.8461265464,9.349648865655041,8.019934288693758,37832.26304089189,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1381727.5138371377,10.54546276975622,5.306453979795718,30828.373822478858,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
619613.0505372423,7.310272933268644,6.506342610088737,34391.531548323976,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1438433.904109316,13.17485023912728,6.313180539344308,236526.0705602788,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1718542.891612834,8.37078325208445,12.188230200037633,20953.177110096327,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
833833.5209129144,9.9821632042648,8.020013931862337,30569.048177472192,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
834294.7218949981,9.415231463784822,4.982190656503842,25900.429320832067,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
2307217.405867342,10.998043581689355,4.568006091078454,12288.443824621223,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1807227.9710446394,9.438618558307777,6.534565312934676,78050.93774394937,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1155564.5704920734,8.648886793863468,8.562296344671413,35779.64179957863,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
619516.0798591799,10.576992227354214,8.586180443264386,13431.631491156957,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
740112.8879974796,13.083987543359088,8.011583868381356,21431.81056926002,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
354706.57884973014,6.543250627304287,6.424342348389135,26418.426072634233,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1513601.8625214116,13.041678788101912,6.445305191064855,225310.6766360072,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
587788.6350217992,9.224873193066646,5.115186929178806,18641.7869087788,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1050408.489317692,14.91539435262345,4.956352307669505,52224.427421451604,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
447225.86626896926,11.723652557474127,6.961288877501843,37176.70623763224,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
1263748.7179754735,11.38757586683073,8.70544649762835,35056.536154421454,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
582423.271128534,8.497009457780663,10.353189427084574,22054.176249210934,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
427790.9206725721,10.725126296850082,6.809143288302664,19797.029025954645,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
316141.08748518245,11.967450765578102,8.015178408792838,24701.42519495238,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
434520.4893724912,7.682585912001659,10.531002145833543,110206.10493258221,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
236192.8289118726,10.789097184995926,3.712489369308744,26877.72771535324,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
374028.4262777957,7.233563220857647,11.108544758887428,18823.505340033556,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
710674.9118927356,7.162226637724041,7.491969939145839,87460.14444183391,ATTACK,ADVERSARIAL_ATTACK,ATTACK,evasion
